time,position,velocity
0.010000,0.000200,0.019991
0.020000,0.000595,0.039535
0.030000,0.001181,0.058604
0.040000,0.001953,0.077170
0.050000,0.002905,0.095207
0.060000,0.004032,0.112689
0.070000,0.005328,0.129593
0.080000,0.006787,0.145895
0.090000,0.008403,0.161574
0.100000,0.010169,0.176609
0.110000,0.012078,0.190980
0.120000,0.014125,0.204671
0.130000,0.016302,0.217663
0.140000,0.018601,0.229941
0.150000,0.021016,0.241491
0.160000,0.023539,0.252300
0.170000,0.026163,0.262355
0.180000,0.028879,0.271646
0.190000,0.031681,0.280163
0.200000,0.034560,0.287898
0.210000,0.037508,0.294845
0.220000,0.040518,0.300997
0.230000,0.043582,0.306350
0.240000,0.046691,0.310901
0.250000,0.049837,0.314648
0.260000,0.053013,0.317589
0.270000,0.056210,0.319726
0.280000,0.059421,0.321060
0.290000,0.062637,0.321593
0.300000,0.065850,0.321330
0.310000,0.069053,0.320275
0.320000,0.072237,0.318435
0.330000,0.075395,0.315816
0.340000,0.078520,0.312427
0.350000,0.081602,0.308278
0.360000,0.084636,0.303379
0.370000,0.087614,0.297741
0.380000,0.090527,0.291377
0.390000,0.093370,0.284300
0.400000,0.096136,0.276524
0.410000,0.098816,0.268064
0.420000,0.101406,0.258938
0.430000,0.103897,0.249161
0.440000,0.106285,0.238751
0.450000,0.108562,0.227728
0.460000,0.110723,0.216110
0.470000,0.112762,0.203918
0.480000,0.114674,0.191172
0.490000,0.116453,0.177893
0.500000,0.118094,0.164105
0.510000,0.119592,0.149829
0.520000,0.120943,0.135089
0.530000,0.122142,0.119909
0.540000,0.123185,0.104313
0.550000,0.124069,0.088326
0.560000,0.124788,0.071973
0.570000,0.125341,0.055279
0.580000,0.125724,0.038272
0.590000,0.125934,0.020976
0.600000,0.125968,0.003419
0.610000,0.125824,-0.014372
0.620000,0.125500,-0.032371
0.630000,0.124995,-0.050550
0.640000,0.124306,-0.068881
0.650000,0.123433,-0.087338
0.660000,0.122374,-0.105892
0.670000,0.121129,-0.124516
0.680000,0.119697,-0.143182
0.690000,0.118078,-0.161863
0.700000,0.116273,-0.180530
0.710000,0.114281,-0.199157
0.720000,0.112104,-0.217716
0.730000,0.109742,-0.236180
0.740000,0.107197,-0.254522
0.750000,0.104470,-0.272714
0.760000,0.101563,-0.290732
0.770000,0.098477,-0.308547
0.780000,0.095216,-0.326135
0.790000,0.091781,-0.343470
0.800000,0.088176,-0.360527
0.810000,0.084403,-0.377280
0.820000,0.080466,-0.393706
0.830000,0.076368,-0.409781
0.840000,0.072113,-0.425482
0.850000,0.067706,-0.440784
0.860000,0.063149,-0.455667
0.870000,0.058448,-0.470109
0.880000,0.053607,-0.484088
0.890000,0.048631,-0.497584
0.900000,0.043525,-0.510577
0.910000,0.038295,-0.523047
0.920000,0.032945,-0.534977
0.930000,0.027482,-0.546349
0.940000,0.021910,-0.557145
0.950000,0.016237,-0.567348
0.960000,0.010467,-0.576945
0.970000,0.004608,-0.585919
0.980000,-0.001335,-0.594256
0.990000,-0.007354,-0.601944
1.000000,-0.013444,-0.608969
1.010000,-0.019597,-0.615321
1.020000,-0.025807,-0.620989
1.030000,-0.032066,-0.625961
1.040000,-0.038369,-0.630231
1.050000,-0.044707,-0.633789
1.060000,-0.051073,-0.636628
1.070000,-0.057460,-0.638741
1.080000,-0.063861,-0.640123
1.090000,-0.070269,-0.640770
1.100000,-0.076676,-0.640677
1.110000,-0.083074,-0.639842
1.120000,-0.089457,-0.638263
1.130000,-0.095816,-0.635938
1.140000,-0.102145,-0.632868
1.150000,-0.108436,-0.629052
1.160000,-0.114681,-0.624493
1.170000,-0.120872,-0.619193
1.180000,-0.127004,-0.613156
1.190000,-0.133068,-0.606385
1.200000,-0.139057,-0.598885
1.210000,-0.144963,-0.590664
1.220000,-0.150781,-0.581726
1.230000,-0.156501,-0.572081
1.240000,-0.162119,-0.561736
1.250000,-0.167626,-0.550700
1.260000,-0.173016,-0.538985
1.270000,-0.178282,-0.526600
1.280000,-0.183417,-0.513557
1.290000,-0.188416,-0.499869
1.300000,-0.193271,-0.485548
1.310000,-0.197977,-0.470610
1.320000,-0.202528,-0.455068
1.330000,-0.206918,-0.438937
1.340000,-0.211140,-0.422234
1.350000,-0.215190,-0.404975
1.360000,-0.219061,-0.387178
1.370000,-0.222750,-0.368861
1.380000,-0.226250,-0.350042
1.390000,-0.229558,-0.330739
1.400000,-0.232668,-0.310974
1.410000,-0.235575,-0.290766
1.420000,-0.238277,-0.270135
1.430000,-0.240768,-0.249104
1.440000,-0.243045,-0.227693
1.450000,-0.245104,-0.205925
1.460000,-0.246942,-0.183822
1.470000,-0.248556,-0.161407
1.480000,-0.249943,-0.138704
1.490000,-0.251100,-0.115736
1.500000,-0.252026,-0.092527
1.510000,-0.252717,-0.069102
1.520000,-0.253172,-0.045484
1.530000,-0.253389,-0.021699
1.540000,-0.253366,0.002229
1.550000,-0.253104,0.026274
1.560000,-0.252599,0.050411
1.570000,-0.251853,0.074615
1.580000,-0.250865,0.098860
1.590000,-0.249633,0.123121
1.600000,-0.248160,0.147372
1.610000,-0.246444,0.171587
1.620000,-0.244486,0.195741
1.630000,-0.242288,0.219809
1.640000,-0.239851,0.243764
1.650000,-0.237175,0.267581
1.660000,-0.234263,0.291236
1.670000,-0.231116,0.314702
1.680000,-0.227736,0.337955
1.690000,-0.224126,0.360970
1.700000,-0.220289,0.383723
1.710000,-0.216227,0.406189
1.720000,-0.211944,0.428344
1.730000,-0.207442,0.450165
1.740000,-0.202726,0.471628
1.750000,-0.197799,0.492710
1.760000,-0.192665,0.513388
1.770000,-0.187328,0.533640
1.780000,-0.181794,0.553444
1.790000,-0.176066,0.572779
1.800000,-0.170150,0.591624
1.810000,-0.164050,0.609958
1.820000,-0.157773,0.627762
1.830000,-0.151323,0.645016
1.840000,-0.144706,0.661700
1.850000,-0.137928,0.677798
1.860000,-0.130995,0.693290
1.870000,-0.123913,0.708161
1.880000,-0.116689,0.722393
1.890000,-0.109329,0.735970
1.900000,-0.101841,0.748878
1.910000,-0.094230,0.761101
1.920000,-0.086503,0.772627
1.930000,-0.078669,0.783441
1.940000,-0.070734,0.793532
1.950000,-0.062705,0.802888
1.960000,-0.054590,0.811497
1.970000,-0.046396,0.819349
1.980000,-0.038132,0.826435
1.990000,-0.029805,0.832747
2.000000,-0.021422,0.838276
2.010000,-0.012992,0.843015
2.020000,-0.004522,0.846958
2.030000,0.003979,0.850099
2.040000,0.012503,0.852433
2.050000,0.021043,0.853957
2.060000,0.029590,0.854667
2.070000,0.038135,0.854562
2.080000,0.046672,0.853638
2.090000,0.055191,0.851896
2.100000,0.063684,0.849337
2.110000,0.072143,0.845960
2.120000,0.080561,0.841767
2.130000,0.088929,0.836762
2.140000,0.097238,0.830947
2.150000,0.105481,0.824326
2.160000,0.113651,0.816906
2.170000,0.121737,0.808690
2.180000,0.129734,0.799687
2.190000,0.137633,0.789902
2.200000,0.145427,0.779346
2.210000,0.153107,0.768025
2.220000,0.160667,0.755951
2.230000,0.168098,0.743133
2.240000,0.175394,0.729583
2.250000,0.182547,0.715312
2.260000,0.189550,0.700333
2.270000,0.196397,0.684660
2.280000,0.203080,0.668306
2.290000,0.209593,0.651286
2.300000,0.215929,0.633615
2.310000,0.222082,0.615310
2.320000,0.228046,0.596387
2.330000,0.233814,0.576863
2.340000,0.239382,0.556757
2.350000,0.244743,0.536086
2.360000,0.249892,0.514870
2.370000,0.254823,0.493128
2.380000,0.259532,0.470880
2.390000,0.264013,0.448147
2.400000,0.268263,0.424950
2.410000,0.272276,0.401310
2.420000,0.276048,0.377249
2.430000,0.279576,0.352791
2.440000,0.282856,0.327957
2.450000,0.285883,0.302770
2.460000,0.288656,0.277255
2.470000,0.291170,0.251435
2.480000,0.293424,0.225335
2.490000,0.295413,0.198978
2.500000,0.297137,0.172390
2.510000,0.298593,0.145595
2.520000,0.299779,0.118619
2.530000,0.300694,0.091487
2.540000,0.301337,0.064225
2.550000,0.301705,0.036858
2.560000,0.301799,0.009413
2.570000,0.301618,-0.018086
2.580000,0.301162,-0.045611
2.590000,0.300431,-0.073137
2.600000,0.299425,-0.100639
2.610000,0.298144,-0.128089
2.620000,0.296589,-0.155462
2.630000,0.294762,-0.182732
2.640000,0.292663,-0.209873
2.650000,0.290294,-0.236859
2.660000,0.287658,-0.263665
2.670000,0.284755,-0.290265
2.680000,0.281589,-0.316634
2.690000,0.278161,-0.342747
2.700000,0.274475,-0.368579
2.710000,0.270534,-0.394106
2.720000,0.266341,-0.419302
2.730000,0.261900,-0.444145
2.740000,0.257214,-0.468610
2.750000,0.252287,-0.492674
2.760000,0.247124,-0.516315
2.770000,0.241729,-0.539508
2.780000,0.236107,-0.562233
2.790000,0.230262,-0.584467
2.800000,0.224200,-0.606190
2.810000,0.217926,-0.627380
2.820000,0.211446,-0.648017
2.830000,0.204765,-0.668081
2.840000,0.197890,-0.687553
2.850000,0.190826,-0.706415
2.860000,0.183579,-0.724647
2.870000,0.176157,-0.742232
2.880000,0.168565,-0.759154
2.890000,0.160811,-0.775396
2.900000,0.152902,-0.790942
2.910000,0.144844,-0.805778
2.920000,0.136645,-0.819888
2.930000,0.128313,-0.833258
2.940000,0.119854,-0.845877
2.950000,0.111276,-0.857731
2.960000,0.102588,-0.868809
2.970000,0.093797,-0.879100
2.980000,0.084911,-0.888593
2.990000,0.075939,-0.897279
3.000000,0.066887,-0.905150
3.010000,0.057765,-0.912198
3.020000,0.048581,-0.918414
3.030000,0.039343,-0.923794
3.040000,0.030060,-0.928331
3.050000,0.020740,-0.932020
3.060000,0.011391,-0.934857
3.070000,0.002023,-0.936839
3.080000,-0.007357,-0.937964
3.090000,-0.016739,-0.938230
3.100000,-0.026116,-0.937636
3.110000,-0.035477,-0.936182
3.120000,-0.044816,-0.933869
3.130000,-0.054123,-0.930698
3.140000,-0.063390,-0.926671
3.150000,-0.072608,-0.921793
3.160000,-0.081768,-0.916065
3.170000,-0.090863,-0.909495
3.180000,-0.099884,-0.902086
3.190000,-0.108823,-0.893845
3.200000,-0.117671,-0.884780
3.210000,-0.126419,-0.874897
3.220000,-0.135062,-0.864207
3.230000,-0.143589,-0.852717
3.240000,-0.151993,-0.840439
3.250000,-0.160267,-0.827382
3.260000,-0.168403,-0.813559
3.270000,-0.176392,-0.798982
3.280000,-0.184229,-0.783664
3.290000,-0.191905,-0.767618
3.300000,-0.199414,-0.750859
3.310000,-0.206748,-0.733402
3.320000,-0.213900,-0.715262
3.330000,-0.220865,-0.696456
3.340000,-0.227635,-0.677001
3.350000,-0.234204,-0.656914
3.360000,-0.240566,-0.636214
3.370000,-0.246715,-0.614918
3.380000,-0.252646,-0.593047
3.390000,-0.258352,-0.570621
3.400000,-0.263829,-0.547658
3.410000,-0.269070,-0.524181
3.420000,-0.274073,-0.500211
3.430000,-0.278830,-0.475769
3.440000,-0.283339,-0.450877
3.450000,-0.287595,-0.425559
3.460000,-0.291593,-0.399837
3.470000,-0.295330,-0.373734
3.480000,-0.298803,-0.347275
3.490000,-0.302008,-0.320484
3.500000,-0.304942,-0.293384
3.510000,-0.307602,-0.266001
3.520000,-0.309985,-0.238359
3.530000,-0.312090,-0.210484
3.540000,-0.313914,-0.182402
3.550000,-0.315456,-0.154137
3.560000,-0.316713,-0.125716
3.570000,-0.317684,-0.097165
3.580000,-0.318370,-0.068509
3.590000,-0.318767,-0.039775
3.600000,-0.318877,-0.010990
3.610000,-0.318699,0.017822
3.620000,-0.318233,0.046632
3.630000,-0.317478,0.075415
3.640000,-0.316437,0.104144
3.650000,-0.315109,0.132794
3.660000,-0.313496,0.161338
3.670000,-0.311598,0.189749
3.680000,-0.309418,0.218002
3.690000,-0.306958,0.246071
3.700000,-0.304218,0.273930
3.710000,-0.301203,0.301554
3.720000,-0.297914,0.328917
3.730000,-0.294354,0.355994
3.740000,-0.290526,0.382760
3.750000,-0.286434,0.409191
3.760000,-0.282081,0.435263
3.770000,-0.277472,0.460951
3.780000,-0.272610,0.486233
3.790000,-0.267499,0.511084
3.800000,-0.262144,0.535482
3.810000,-0.256550,0.559404
3.820000,-0.250722,0.582829
3.830000,-0.244664,0.605735
3.840000,-0.238383,0.628101
3.850000,-0.231884,0.649907
3.860000,-0.225173,0.671132
3.870000,-0.218255,0.691756
3.880000,-0.211138,0.711761
3.890000,-0.203826,0.731129
3.900000,-0.196328,0.749841
3.910000,-0.188649,0.767880
3.920000,-0.180797,0.785230
3.930000,-0.172778,0.801874
3.940000,-0.164600,0.817797
3.950000,-0.156270,0.832985
3.960000,-0.147796,0.847424
3.970000,-0.139185,0.861099
3.980000,-0.130445,0.873999
3.990000,-0.121584,0.886111
4.000000,-0.112610,0.897424
4.010000,-0.103530,0.907928
4.020000,-0.094354,0.917613
4.030000,-0.085090,0.926469
4.040000,-0.075745,0.934489
4.050000,-0.066328,0.941665
4.060000,-0.056848,0.947990
4.070000,-0.047314,0.953459
4.080000,-0.037733,0.958065
4.090000,-0.028115,0.961805
4.100000,-0.018468,0.964675
4.110000,-0.008801,0.966672
4.120000,0.000877,0.967795
4.130000,0.010557,0.968041
4.140000,0.020231,0.967411
4.150000,0.029890,0.965904
4.160000,0.039525,0.963522
4.170000,0.049128,0.960268
4.180000,0.058689,0.956143
4.190000,0.068201,0.951151
4.200000,0.077654,0.945296
4.210000,0.087040,0.938584
4.220000,0.096350,0.931021
4.230000,0.105576,0.922613
4.240000,0.114710,0.913368
4.250000,0.123743,0.903293
4.260000,0.132667,0.892398
4.270000,0.141474,0.880693
4.280000,0.150155,0.868188
4.290000,0.158704,0.854894
4.300000,0.167113,0.840823
4.310000,0.175372,0.825987
4.320000,0.183476,0.810401
4.330000,0.191417,0.794077
4.340000,0.199188,0.777031
4.350000,0.206780,0.759278
4.360000,0.214189,0.740834
4.370000,0.221406,0.721715
4.380000,0.228425,0.701939
4.390000,0.235240,0.681523
4.400000,0.241845,0.660486
4.410000,0.248234,0.638847
4.420000,0.254400,0.616625
4.430000,0.260338,0.593841
4.440000,0.266044,0.570515
4.450000,0.271510,0.546667
4.460000,0.276733,0.522320
4.470000,0.281708,0.497495
4.480000,0.286431,0.472216
4.490000,0.290896,0.446503
4.500000,0.295099,0.420382
4.510000,0.299038,0.393876
4.520000,0.302708,0.367007
4.530000,0.306106,0.339802
4.540000,0.309229,0.312283
4.550000,0.312074,0.284477
4.560000,0.314638,0.256409
4.570000,0.316919,0.228102
4.580000,0.318915,0.199585
4.590000,0.320624,0.170881
4.600000,0.322044,0.142017
4.610000,0.323174,0.113020
4.620000,0.324013,0.083915
4.630000,0.324560,0.054728
4.640000,0.324815,0.025487
4.650000,0.324777,-0.003783
4.660000,0.324447,-0.033055
4.670000,0.323824,-0.062302
4.680000,0.322909,-0.091498
4.690000,0.321703,-0.120616
4.700000,0.320206,-0.149631
4.710000,0.318421,-0.178516
4.720000,0.316349,-0.207244
4.730000,0.313991,-0.235791
4.740000,0.311350,-0.264129
4.750000,0.308427,-0.292233
4.760000,0.305227,-0.320078
4.770000,0.301750,-0.347638
4.780000,0.298001,-0.374890
4.790000,0.293983,-0.401807
4.800000,0.289700,-0.428365
4.810000,0.285154,-0.454541
4.820000,0.280351,-0.480311
4.830000,0.275295,-0.505651
4.840000,0.269989,-0.530538
4.850000,0.264440,-0.554951
4.860000,0.258651,-0.578866
4.870000,0.252628,-0.602262
4.880000,0.246377,-0.625117
4.890000,0.239903,-0.647412
4.900000,0.233212,-0.669126
4.910000,0.226309,-0.690239
4.920000,0.219202,-0.710732
4.930000,0.211896,-0.730586
4.940000,0.204398,-0.749784
4.950000,0.196715,-0.768308
4.960000,0.188854,-0.786141
4.970000,0.180821,-0.803267
4.980000,0.172625,-0.819670
4.990000,0.164271,-0.835336
5.000000,0.155769,-0.850250
5.010000,0.147125,-0.864399
5.020000,0.138347,-0.877770
5.030000,0.129444,-0.890350
5.040000,0.120422,-0.902129
5.050000,0.111291,-0.913095
5.060000,0.102059,-0.923239
5.070000,0.092733,-0.932551
5.080000,0.083323,-0.941024
5.090000,0.073837,-0.948648
5.100000,0.064282,-0.955417
5.110000,0.054669,-0.961325
5.120000,0.045006,-0.966367
5.130000,0.035300,-0.970538
5.140000,0.025562,-0.973834
5.150000,0.015799,-0.976251
5.160000,0.006021,-0.977789
5.170000,-0.003763,-0.978445
5.180000,-0.013545,-0.978218
5.190000,-0.023316,-0.977109
5.200000,-0.033067,-0.975119
5.210000,-0.042790,-0.972249
5.220000,-0.052475,-0.968502
5.230000,-0.062114,-0.963881
5.240000,-0.071698,-0.958391
5.250000,-0.081218,-0.952035
5.260000,-0.090666,-0.944821
5.270000,-0.100034,-0.936754
5.280000,-0.109312,-0.927841
5.290000,-0.118493,-0.918091
5.300000,-0.127568,-0.907513
5.310000,-0.136529,-0.896115
5.320000,-0.145368,-0.883907
5.330000,-0.154077,-0.870902
5.340000,-0.162649,-0.857111
5.350000,-0.171074,-0.842545
5.360000,-0.179346,-0.827219
5.370000,-0.187458,-0.811145
5.380000,-0.195401,-0.794339
5.390000,-0.203169,-0.776815
5.400000,-0.210755,-0.758589
5.410000,-0.218152,-0.739678
5.420000,-0.225353,-0.720098
5.430000,-0.232352,-0.699868
5.440000,-0.239142,-0.679005
5.450000,-0.245717,-0.657528
5.460000,-0.252071,-0.635457
5.470000,-0.258200,-0.612811
5.480000,-0.264096,-0.589611
5.490000,-0.269754,-0.565878
5.500000,-0.275171,-0.541633
5.510000,-0.280340,-0.516898
5.520000,-0.285257,-0.491695
5.530000,-0.289917,-0.466047
5.540000,-0.294317,-0.439977
5.550000,-0.298452,-0.413509
5.560000,-0.302319,-0.386666
5.570000,-0.305913,-0.359472
5.580000,-0.309233,-0.331953
5.590000,-0.312274,-0.304133
5.600000,-0.315035,-0.276036
5.610000,-0.317512,-0.247689
5.620000,-0.319703,-0.219116
5.630000,-0.321606,-0.190345
5.640000,-0.323220,-0.161399
5.650000,-0.324543,-0.132307
5.660000,-0.325574,-0.103093
5.670000,-0.326312,-0.073784
5.680000,-0.326756,-0.044408
5.690000,-0.326906,-0.014989
5.700000,-0.326761,0.014445
5.710000,-0.326323,0.043868
5.720000,-0.325590,0.073254
5.730000,-0.324564,0.102575
5.740000,-0.323246,0.131805
5.750000,-0.321637,0.160919
5.760000,-0.319738,0.189889
5.770000,-0.317551,0.218690
5.780000,-0.315079,0.247295
5.790000,-0.312322,0.275679
5.800000,-0.309284,0.303817
5.810000,-0.305967,0.331682
5.820000,-0.302374,0.359250
5.830000,-0.298509,0.386496
5.840000,-0.294375,0.413395
5.850000,-0.289976,0.439923
5.860000,-0.285316,0.466057
5.870000,-0.280398,0.491771
5.880000,-0.275227,0.517044
5.890000,-0.269809,0.541853
5.900000,-0.264147,0.566175
5.910000,-0.258247,0.589987
5.920000,-0.252115,0.613270
5.930000,-0.245755,0.636001
5.940000,-0.239173,0.658161
5.950000,-0.232376,0.679728
5.960000,-0.225369,0.700685
5.970000,-0.218159,0.721011
5.980000,-0.210752,0.740688
5.990000,-0.203155,0.759700
6.000000,-0.195375,0.778027
6.010000,-0.187418,0.795655
6.020000,-0.179292,0.812567
6.030000,-0.171005,0.828748
6.040000,-0.162563,0.844183
6.050000,-0.153974,0.858858
6.060000,-0.145247,0.872760
6.070000,-0.136388,0.885877
6.080000,-0.127406,0.898196
6.090000,-0.118309,0.909707
6.100000,-0.109105,0.920399
6.110000,-0.099802,0.930262
6.120000,-0.090410,0.939288
6.130000,-0.080935,0.947468
6.140000,-0.071387,0.954795
6.150000,-0.061774,0.961263
6.160000,-0.052106,0.966865
6.170000,-0.042390,0.971596
6.180000,-0.032635,0.975452
6.190000,-0.022851,0.978430
6.200000,-0.013046,0.980527
6.210000,-0.003228,0.981741
6.220000,0.006593,0.982071
6.230000,0.016408,0.981516
6.240000,0.026209,0.980078
6.250000,0.035986,0.977756
6.260000,0.045732,0.974554
6.270000,0.055436,0.970474
6.280000,0.065092,0.965520
6.290000,0.074689,0.959696
6.300000,0.084219,0.953008
6.310000,0.093673,0.945462
6.320000,0.103044,0.937063
6.330000,0.112322,0.927821
6.340000,0.121499,0.917742
6.350000,0.130568,0.906837
6.360000,0.139519,0.895115
6.370000,0.148345,0.882586
6.380000,0.157037,0.869262
6.390000,0.165589,0.855155
6.400000,0.173992,0.840277
6.410000,0.182238,0.824643
6.420000,0.190321,0.808265
6.430000,0.198232,0.791159
6.440000,0.205966,0.773340
6.450000,0.213514,0.754824
6.460000,0.220870,0.735627
6.470000,0.228028,0.715768
6.480000,0.234981,0.695264
6.490000,0.241722,0.674133
6.500000,0.248246,0.652394
6.510000,0.254547,0.630068
6.520000,0.260618,0.607173
6.530000,0.266456,0.583731
6.540000,0.272053,0.559763
6.550000,0.277406,0.535290
6.560000,0.282510,0.510335
6.570000,0.287359,0.484919
6.580000,0.291949,0.459066
6.590000,0.296277,0.432799
6.600000,0.300339,0.406142
6.610000,0.304130,0.379118
6.620000,0.307648,0.351753
6.630000,0.310888,0.324070
6.640000,0.313849,0.296094
6.650000,0.316528,0.267851
6.660000,0.318921,0.239367
6.670000,0.321028,0.210666
6.680000,0.322846,0.181775
6.690000,0.324373,0.152719
6.700000,0.325608,0.123526
6.710000,0.326550,0.094220
6.720000,0.327199,0.064829
6.730000,0.327553,0.035379
6.740000,0.327611,0.005896
6.750000,0.327376,-0.023592
6.760000,0.326845,-0.053060
6.770000,0.326020,-0.082481
6.780000,0.324902,-0.111828
6.790000,0.323491,-0.141075
6.800000,0.321789,-0.170195
6.810000,0.319798,-0.199163
6.820000,0.317518,-0.227953
6.830000,0.314953,-0.256537
6.840000,0.312104,-0.284891
6.850000,0.308974,-0.312990
6.860000,0.305566,-0.340807
6.870000,0.301883,-0.368317
6.880000,0.297928,-0.395497
6.890000,0.293704,-0.422321
6.900000,0.289217,-0.448765
6.910000,0.284469,-0.474806
6.920000,0.279464,-0.500420
6.930000,0.274209,-0.525584
6.940000,0.268706,-0.550275
6.950000,0.262961,-0.574471
6.960000,0.256980,-0.598150
6.970000,0.250767,-0.621292
6.980000,0.244328,-0.643874
6.990000,0.237669,-0.665877
7.000000,0.230796,-0.687281
7.010000,0.223716,-0.708067
7.020000,0.216434,-0.728215
7.030000,0.208957,-0.747708
7.040000,0.201291,-0.766529
7.050000,0.193445,-0.784659
7.060000,0.185424,-0.802084
7.070000,0.177236,-0.818787
7.080000,0.168888,-0.834753
7.090000,0.160389,-0.849968
7.100000,0.151745,-0.864417
7.110000,0.142964,-0.878089
7.120000,0.134054,-0.890971
7.130000,0.125023,-0.903051
7.140000,0.115880,-0.914318
7.150000,0.106633,-0.924762
7.160000,0.097289,-0.934373
7.170000,0.087858,-0.943144
7.180000,0.078347,-0.951066
7.190000,0.068766,-0.958132
7.200000,0.059122,-0.964335
7.210000,0.049425,-0.969670
7.220000,0.039684,-0.974133
7.230000,0.029907,-0.977718
7.240000,0.020103,-0.980424
7.250000,0.010280,-0.982247
7.260000,0.000448,-0.983186
7.270000,-0.009384,-0.983240
7.280000,-0.019208,-0.982409
7.290000,-0.029015,-0.980693
7.300000,-0.038796,-0.978095
7.310000,-0.048542,-0.974616
7.320000,-0.058245,-0.970260
7.330000,-0.067895,-0.965030
7.340000,-0.077484,-0.958932
7.350000,-0.087004,-0.951970
7.360000,-0.096446,-0.944151
7.370000,-0.105800,-0.935483
7.380000,-0.115060,-0.925972
7.390000,-0.124216,-0.915627
7.400000,-0.133261,-0.904458
7.410000,-0.142186,-0.892475
7.420000,-0.150983,-0.879689
7.430000,-0.159644,-0.866110
7.440000,-0.168161,-0.851752
7.450000,-0.176527,-0.836627
7.460000,-0.184735,-0.820748
7.470000,-0.192776,-0.804131
7.480000,-0.200644,-0.786790
7.490000,-0.208332,-0.768740
7.500000,-0.215832,-0.749998
7.510000,-0.223137,-0.730581
7.520000,-0.230242,-0.710506
7.530000,-0.237140,-0.689791
7.540000,-0.243825,-0.668456
7.550000,-0.250290,-0.646518
7.560000,-0.256530,-0.623998
7.570000,-0.262539,-0.600916
7.580000,-0.268312,-0.577294
7.590000,-0.273844,-0.553151
7.600000,-0.279129,-0.528510
7.610000,-0.284163,-0.503393
7.620000,-0.288941,-0.477823
7.630000,-0.293459,-0.451823
7.640000,-0.297713,-0.425416
7.650000,-0.301700,-0.398625
7.660000,-0.305414,-0.371476
7.670000,-0.308854,-0.343992
7.680000,-0.312016,-0.316198
7.690000,-0.314897,-0.288119
7.700000,-0.317495,-0.259781
7.710000,-0.319807,-0.231208
7.720000,-0.321832,-0.202428
7.730000,-0.323566,-0.173464
7.740000,-0.325010,-0.144345
7.750000,-0.326161,-0.115095
7.760000,-0.327018,-0.085742
7.770000,-0.327581,-0.056311
7.780000,-0.327849,-0.026829
7.790000,-0.327823,0.002677
7.800000,-0.327501,0.032181
7.810000,-0.326884,0.061656
7.820000,-0.325974,0.091076
7.830000,-0.324769,0.120414
7.840000,-0.323273,0.149644
7.850000,-0.321486,0.178740
7.860000,-0.319409,0.207675
7.870000,-0.317045,0.236423
7.880000,-0.314395,0.264958
7.890000,-0.311462,0.293256
7.900000,-0.308250,0.321289
7.910000,-0.304759,0.349033
7.920000,-0.300995,0.376464
7.930000,-0.296959,0.403556
7.940000,-0.292656,0.430285
7.950000,-0.288090,0.456626
7.960000,-0.283264,0.482557
7.970000,-0.278184,0.508054
7.980000,-0.272853,0.533093
7.990000,-0.267276,0.557653
8.000000,-0.261459,0.581712
8.010000,-0.255407,0.605246
8.020000,-0.249124,0.628236
8.030000,-0.242618,0.650661
8.040000,-0.235893,0.672500
8.050000,-0.228955,0.693735
8.060000,-0.221812,0.714344
8.070000,-0.214469,0.734312
8.080000,-0.206933,0.753618
8.090000,-0.199210,0.772246
8.100000,-0.191308,0.790179
8.110000,-0.183234,0.807401
8.120000,-0.174995,0.823896
8.130000,-0.166599,0.839650
8.140000,-0.158052,0.854649
8.150000,-0.149364,0.868878
8.160000,-0.140540,0.882325
8.170000,-0.131591,0.894978
8.180000,-0.122522,0.906826
8.190000,-0.113344,0.917858
8.200000,-0.104063,0.928063
8.210000,-0.094689,0.937434
8.220000,-0.085229,0.945960
8.230000,-0.075693,0.953636
8.240000,-0.066088,0.960453
8.250000,-0.056424,0.966405
8.260000,-0.046709,0.971488
8.270000,-0.036952,0.975697
8.280000,-0.027162,0.979027
8.290000,-0.017347,0.981477
8.300000,-0.007517,0.983043
8.310000,0.002320,0.983724
8.320000,0.012155,0.983520
8.330000,0.021980,0.982430
8.340000,0.031784,0.980457
8.350000,0.041560,0.977601
8.360000,0.051299,0.973865
8.370000,0.060991,0.969253
8.380000,0.070629,0.963768
8.390000,0.080203,0.957416
8.400000,0.089705,0.950202
8.410000,0.099127,0.942133
8.420000,0.108459,0.933216
8.430000,0.117693,0.923459
8.440000,0.126822,0.912871
8.450000,0.135837,0.901461
8.460000,0.144729,0.889240
8.470000,0.153491,0.876218
8.480000,0.162115,0.862408
8.490000,0.170594,0.847822
8.500000,0.178918,0.832472
8.510000,0.187082,0.816373
8.520000,0.195077,0.799540
8.530000,0.202897,0.781986
8.540000,0.210535,0.763729
8.550000,0.217982,0.744785
8.560000,0.225234,0.725170
8.570000,0.232283,0.704902
8.580000,0.239123,0.684000
8.590000,0.245748,0.662483
8.600000,0.252152,0.640369
8.610000,0.258328,0.617678
8.620000,0.264273,0.594432
8.630000,0.269979,0.570650
8.640000,0.275443,0.546355
8.650000,0.280659,0.521568
8.660000,0.285622,0.496312
8.670000,0.290328,0.470609
8.680000,0.294773,0.444482
8.690000,0.298952,0.417955
8.700000,0.302863,0.391052
8.710000,0.306501,0.363797
8.720000,0.309863,0.336214
8.730000,0.312946,0.308329
8.740000,0.315748,0.280166
8.750000,0.318265,0.251751
8.760000,0.320496,0.223109
8.770000,0.322439,0.194266
